Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,207,1929,1,1821,7,5,4.58144
0,0,1913,1258,0,0,7,5,4.58144
0,1,233,3646,0,3515,10,5,5.43713
0,0,1913,1417,0,0,10,5,5.43713
0,1,331,7130,1,6931,7,5,6.13164
0,0,1913,1300,0,0,7,5,6.13164
0,1,188,960,0,870,8,4,4.383
0,0,1913,926,0,0,8,4,4.383
0,1,208,1724,0,1618,9,5,4.30051
0,0,1913,1203,0,0,9,5,4.30051
0,1,244,3712,0,3568,9,4,4.99433
0,0,1913,1096,0,0,9,4,4.99433
0,1,246,3532,0,3400,10,6,4.64467
0,0,1913,1213,0,0,10,6,4.64467
0,1,232,3378,0,3256,9,5,5.67654
0,0,1913,1399,0,0,9,5,5.67654
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,272,4418,4,4240,8,4,6.6136
0,0,2893,2017,0,0,8,4,6.6136
0,1,273,4362,4,4185,7,4,6.26699
0,0,2893,2369,0,0,7,4,6.26699
0,1,340,7378,3,7142,8,3,6.01858
0,0,2893,2281,0,0,8,3,6.01858
0,1,231,2455,0,2302,7,4,5.65172
0,0,2893,2075,0,0,7,4,5.65172
0,1,302,6731,1,6520,9,4,7.10603
0,0,2893,2587,0,0,9,4,7.10603
0,1,239,2980,1,2826,8,4,6.31876
0,0,2893,2238,0,0,8,4,6.31876
0,1,248,2934,4,2773,7,3,6.21879
0,0,2893,1970,0,0,7,3,6.21879
0,1,216,1891,5,1761,7,5,5.56458
0,0,2893,2085,0,0,7,5,5.56458
0,1,262,3871,1,3697,8,3,6.27963
0,0,2893,2035,0,0,8,3,6.27963
0,1,238,1950,0,1812,7,4,5.12581
0,0,2893,1622,0,0,7,4,5.12581
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,276,3920,2,3745,8,5,6.82613
0,0,2893,2200,0,0,8,5,6.82613
0,1,246,2858,3,2709,7,5,6.43147
0,0,2893,2505,0,0,7,5,6.43147
0,1,313,6284,1,6074,7,5,6.21043
0,0,2893,2452,0,0,7,5,6.21043
0,1,222,1715,0,1587,7,5,5.80003
0,0,2893,2242,0,0,7,5,5.80003
0,1,303,5512,3,5313,9,6,7.35444
0,0,2893,2725,0,0,9,6,7.35444
0,1,237,2485,1,2346,8,6,6.52763
0,0,2893,2446,0,0,8,6,6.52763
0,1,249,2683,3,2526,7,6,6.41496
0,0,2893,2141,0,0,7,6,6.41496
0,1,178,866,2,773,7,5,5.69831
0,0,2893,2269,0,0,7,5,5.69831
0,1,234,1738,1,1603,8,4,6.4493
0,0,2893,2227,0,0,8,4,6.4493
0,1,233,1441,1,1317,7,5,5.27909
0,0,2893,1801,0,0,7,5,5.27909
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,383,10328,0,10136,13,4,6.58667
0,0,2893,2288,0,0,13,4,6.58667
0,1,325,8258,1,8102,13,6,6.47101
0,0,2893,2246,0,0,13,6,6.47101
0,1,338,9974,0,9809,13,3,6.69946
0,0,2893,2208,0,0,13,3,6.69946
0,1,455,18215,0,17975,13,4,7.16903
0,0,2893,2279,0,0,13,4,7.16903
0,1,312,7048,0,6905,13,4,6.82212
0,0,2893,2216,0,0,13,4,6.82212
0,1,327,8481,0,8319,13,4,6.44023
0,0,2893,2421,0,0,13,4,6.44023
0,1,309,6366,0,6223,13,3,6.81624
0,0,2893,2041,0,0,13,3,6.81624
0,1,340,11280,0,11106,13,6,6.7085
0,0,2893,2164,0,0,13,6,6.7085
0,1,327,8243,0,8086,13,3,6.52641
0,0,2893,2021,0,0,13,3,6.52641
0,1,336,9250,0,9088,13,4,6.96224
0,0,2893,2075,0,0,13,4,6.96224
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,308,5604,0,5475,13,5,6.78706
0,0,2893,2525,0,0,13,5,6.78706
0,1,235,2561,0,2472,13,7,6.66621
0,0,2893,2413,0,0,13,7,6.66621
0,1,310,5621,0,5489,13,7,6.90359
0,0,2893,2307,0,0,13,7,6.90359
0,1,347,8800,0,8642,13,7,7.36418
0,0,2893,2408,0,0,13,7,7.36418
0,1,277,4232,0,4125,13,6,7.04113
0,0,2893,2343,0,0,13,6,7.04113
0,1,318,6370,0,6237,13,7,6.64674
0,0,2893,2477,0,0,13,7,6.64674
0,1,295,4748,0,4626,13,6,7.02584
0,0,2893,2208,0,0,13,6,7.02584
0,1,286,5344,0,5222,13,6,6.8991
0,0,2893,2300,0,0,13,6,6.8991
0,1,313,4951,0,4821,13,6,6.70891
0,0,2893,2174,0,0,13,6,6.70891
0,1,321,6574,0,6436,13,7,7.20332
0,0,2893,2296,0,0,13,7,7.20332
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,278,5242,0,5073,9,4,7.60752
0,0,2893,1940,0,0,9,4,7.60752
0,1,294,6770,1,6577,9,3,7.82428
0,0,2893,2482,0,0,9,3,7.82428
0,1,255,3298,1,3155,7,3,6.6901
0,0,2893,2101,0,0,7,3,6.6901
0,1,301,6907,0,6710,10,4,7.97587
0,0,2893,2452,0,0,10,4,7.97587
0,1,441,18471,1,18152,7,4,8.86724
0,0,2893,2166,0,0,7,4,8.86724
0,1,233,1996,0,1873,8,4,6.37039
0,0,2893,1428,0,0,8,4,6.37039
0,1,263,3639,1,3489,9,4,6.25736
0,0,2893,1946,0,0,9,4,6.25736
0,1,262,3637,1,3485,9,4,7.25098
0,0,2893,1714,0,0,9,4,7.25098
0,1,303,6169,0,5983,10,4,6.72793
0,0,2893,1985,0,0,10,4,6.72793
0,1,273,5246,0,5087,9,4,8.19266
0,0,2893,2290,0,0,9,4,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,273,4394,0,4243,9,6,7.82978
0,0,2893,2087,0,0,9,6,7.82978
0,1,248,3552,0,3418,9,6,8.06303
0,0,2893,2664,0,0,9,6,8.06303
0,1,242,2527,0,2402,7,4,6.8661
0,0,2893,2240,0,0,7,4,6.8661
0,1,269,4555,0,4405,10,6,8.13468
0,0,2893,2526,0,0,10,6,8.13468
0,1,414,10389,2,10133,7,4,9.19047
0,0,2893,2297,0,0,7,4,9.19047
0,1,215,1208,0,1103,8,5,6.55767
0,0,2893,1591,0,0,8,5,6.55767
0,1,244,2727,1,2599,9,6,6.43096
0,0,2893,2111,0,0,9,6,6.43096
0,1,251,2945,0,2809,9,4,7.46585
0,0,2893,1886,0,0,9,4,7.46585
0,1,255,3300,0,3161,10,6,6.94399
0,0,2893,2160,0,0,10,6,6.94399
0,1,276,4915,0,4759,9,4,8.47389
0,0,2893,2435,0,0,9,4,8.47389
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,326,6215,4,5991,8,4,8.8138
0,0,3873,3024,0,0,8,4,8.8138
0,1,319,6125,5,5901,7,4,8.35515
0,0,3873,3519,0,0,7,4,8.35515
0,1,387,10399,3,10114,8,4,8.01858
0,0,3873,3436,0,0,8,4,8.01858
0,1,270,3488,2,3306,7,3,7.53298
0,0,3873,3113,0,0,7,3,7.53298
0,1,362,10522,2,10253,9,3,9.47041
0,0,3873,3891,0,0,9,3,9.47041
0,1,278,4249,1,4067,8,4,8.41996
0,0,3873,3378,0,0,8,4,8.41996
0,1,276,3732,2,3548,7,4,8.28566
0,0,3873,2929,0,0,7,4,8.28566
0,1,234,2397,2,2245,7,3,7.41775
0,0,3873,3079,0,0,7,3,7.41775
0,1,297,4381,1,4182,8,4,8.36985
0,0,3873,3045,0,0,8,4,8.36985
0,1,268,2550,0,2394,7,3,6.83262
0,0,3873,2402,0,0,7,3,6.83262
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,337,5791,2,5575,8,5,9.08883
0,0,3873,3290,0,0,8,5,9.08883
0,1,304,4561,3,4364,7,5,8.56886
0,0,3873,3802,0,0,7,5,8.56886
0,1,347,7432,3,7195,7,5,8.27561
0,0,3873,3639,0,0,7,5,8.27561
0,1,251,2411,4,2257,7,6,7.72286
0,0,3873,3344,0,0,7,6,7.72286
0,1,373,9185,2,8925,9,5,9.79689
0,0,3873,4119,0,0,9,5,9.79689
0,1,240,2453,1,2308,8,5,8.69719
0,0,3873,3682,0,0,8,5,8.69719
0,1,276,3460,3,3285,7,5,8.54879
0,0,3873,3185,0,0,7,5,8.54879
0,1,200,1200,0,1090,7,5,7.58625
0,0,3873,3393,0,0,7,5,7.58625
0,1,291,3660,2,3477,8,5,8.59324
0,0,3873,3328,0,0,8,5,8.59324
0,1,253,1618,0,1477,7,6,7.03838
0,0,3873,2597,0,0,7,6,7.03838
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,434,13980,0,13757,13,4,8.77589
0,0,3873,3462,0,0,13,4,8.77589
0,1,378,10354,0,10168,13,6,8.62267
0,0,3873,3377,0,0,13,6,8.62267
0,1,388,14099,0,13896,13,4,8.92746
0,0,3873,3272,0,0,13,4,8.92746
0,1,516,23679,0,23405,13,3,9.55455
0,0,3873,3424,0,0,13,3,9.55455
0,1,358,10253,0,10071,13,4,9.09231
0,0,3873,3315,0,0,13,4,9.09231
0,1,389,11787,0,11587,13,3,8.58171
0,0,3873,3427,0,0,13,3,8.58171
0,1,358,8720,0,8540,13,3,9.08194
0,0,3873,3071,0,0,13,3,9.08194
0,1,399,14804,0,14593,13,4,8.93838
0,0,3873,3240,0,0,13,4,8.93838
0,1,395,11271,0,11065,13,3,8.6992
0,0,3873,3074,0,0,13,3,8.6992
0,1,400,12946,0,12743,13,3,9.27955
0,0,3873,3161,0,0,13,3,9.27955
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,360,7774,0,7616,13,7,9.04066
0,0,3873,3875,0,0,13,7,9.04066
0,1,283,3802,0,3690,13,7,8.88025
0,0,3873,3640,0,0,13,7,8.88025
0,1,371,9690,0,9517,13,6,9.1969
0,0,3873,3512,0,0,13,6,9.1969
0,1,415,12904,0,12706,13,6,9.80713
0,0,3873,3674,0,0,13,6,9.80713
0,1,333,6387,0,6247,13,7,9.375
0,0,3873,3564,0,0,13,7,9.375
0,1,375,9064,0,8895,13,6,8.85533
0,0,3873,3754,0,0,13,6,8.85533
0,1,348,7351,0,7198,13,5,9.35589
0,0,3873,3304,0,0,13,5,9.35589
0,1,365,7663,0,7500,13,6,9.1948
0,0,3873,3521,0,0,13,6,9.1948
0,1,374,8164,0,7999,13,6,8.9405
0,0,3873,3256,0,0,13,6,8.9405
0,1,399,10312,0,10136,13,6,9.59815
0,0,3873,3400,0,0,13,6,9.59815
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,341,7698,0,7483,9,4,10.1445
0,0,3873,2902,0,0,9,4,10.1445
0,1,346,8956,0,8735,9,3,10.4236
0,0,3873,3723,0,0,9,3,10.4236
0,1,287,4293,0,4124,7,2,8.91903
0,0,3873,3163,0,0,7,2,8.91903
0,1,358,9882,0,9646,10,3,10.6337
0,0,3873,3677,0,0,10,3,10.6337
0,1,525,26891,2,26499,7,3,11.8199
0,0,3873,3253,0,0,7,3,11.8199
0,1,246,2247,1,2115,8,6,8.48933
0,0,3873,2092,0,0,8,6,8.48933
0,1,293,4613,0,4438,9,4,8.33783
0,0,3873,2866,0,0,9,4,8.33783
0,1,286,4838,0,4661,9,5,9.66155
0,0,3873,2557,0,0,9,5,9.66155
0,1,354,8564,0,8335,10,4,8.96363
0,0,3873,2984,0,0,10,4,8.96363
0,1,314,6915,1,6723,9,4,10.9201
0,0,3873,3456,0,0,9,4,10.9201
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,331,6733,0,6543,9,6,10.4313
0,0,3873,3124,0,0,9,6,10.4313
0,1,288,4544,0,4385,9,6,10.7505
0,0,3873,4031,0,0,9,6,10.7505
0,1,282,3904,0,3753,7,5,9.1519
0,0,3873,3377,0,0,7,5,9.1519
0,1,309,6268,1,6080,10,4,10.8489
0,0,3873,3794,0,0,10,4,10.8489
0,1,504,17162,1,16837,7,5,12.2401
0,0,3873,3421,0,0,7,5,12.2401
0,1,241,1570,0,1448,8,4,8.73007
0,0,3873,2326,0,0,8,4,8.73007
0,1,297,3964,0,3798,9,5,8.57731
0,0,3873,3173,0,0,9,5,8.57731
0,1,295,4240,0,4069,9,4,9.95211
0,0,3873,2819,0,0,9,4,9.95211
0,1,308,5353,0,5175,10,6,9.24458
0,0,3873,3192,0,0,10,6,9.24458
0,1,286,4930,0,4772,9,5,11.2831
0,0,3873,3713,0,0,9,5,11.2831
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,365,7960,2,7703,8,4,11.0154
0,0,4853,4121,0,0,8,4,11.0154
0,1,347,7563,2,7322,7,4,10.4431
0,0,4853,4814,0,0,7,4,10.4431
0,1,451,13303,8,12967,8,4,10.0201
0,0,4853,4651,0,0,8,4,10.0201
0,1,305,4489,7,4269,7,4,9.41275
0,0,4853,4209,0,0,7,4,9.41275
0,1,423,13430,1,13115,9,4,11.8355
0,0,4853,5352,0,0,9,4,11.8355
0,1,302,5118,1,4910,8,3,10.5269
0,0,4853,4607,0,0,8,3,10.5269
0,1,310,5012,2,4791,7,4,10.3559
0,0,4853,3945,0,0,7,4,10.3559
0,1,243,2439,1,2287,7,5,9.26774
0,0,4853,4226,0,0,7,5,9.26774
0,1,338,6214,1,5979,8,4,10.4616
0,0,4853,4115,0,0,8,4,10.4616
0,1,303,3497,0,3307,7,5,8.54024
0,0,4853,3234,0,0,7,5,8.54024
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,361,6315,0,6082,8,4,11.3544
0,0,4853,4476,0,0,8,4,11.3544
0,1,324,5432,3,5216,7,4,10.7036
0,0,4853,5093,0,0,7,4,10.7036
0,1,380,9102,3,8840,7,6,10.3388
0,0,4853,4977,0,0,7,6,10.3388
0,1,281,2865,2,2690,7,6,9.64568
0,0,4853,4496,0,0,7,6,9.64568
0,1,439,13084,6,12771,9,6,12.2482
0,0,4853,5630,0,0,9,6,12.2482
0,1,295,4160,1,3975,8,6,10.8652
0,0,4853,4952,0,0,8,6,10.8652
0,1,330,4671,2,4456,7,5,10.6824
0,0,4853,4251,0,0,7,5,10.6824
0,1,215,1485,0,1362,7,6,9.4757
0,0,4853,4571,0,0,7,6,9.4757
0,1,326,4211,3,4002,8,5,10.7418
0,0,4853,4498,0,0,8,5,10.7418
0,1,299,2292,2,2116,7,5,8.7949
0,0,4853,3524,0,0,7,5,8.7949
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,419,13112,0,12900,13,3,10.9684
0,0,4853,4857,0,0,13,3,10.9684
0,1,401,11086,0,10892,13,4,10.7736
0,0,4853,4677,0,0,13,4,10.7736
0,1,447,20343,0,20095,13,5,11.1568
0,0,4853,4453,0,0,13,5,11.1568
0,1,614,35390,0,35049,13,4,11.9403
